Key,english
schematicmag_kedr_custom_9x18pm_75,"Bản vẽ Băng đạn KEDR 75 viên[-]"
schematicmag_kedr_custom_9x18pm_75Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn KEDR 75 viên"
schematicmag_pp_19_01_f5mfg_kr9_drum_mag_9x19_50,"Bản vẽ Băng đạn trống PP 50 viên[-]"
schematicmag_pp_19_01_f5mfg_kr9_drum_mag_9x19_50Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn trống PP 50 viên"
schematicmag_sr2m_custom_taped_9x21_60,"Bản vẽ Băng đạn SR2M 60 viên[-]"
schematicmag_sr2m_custom_taped_9x21_60Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn SR2M 60 viên"
schematicmag_uzi_iwi_9x19_50,"Bản vẽ Băng đạn Uzi (IWI) 50 viên[-]"
schematicmag_uzi_iwi_9x19_50Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Uzi (IWI) 50 viên"
schematicmag_mp5_x_products_x_5_9x19_50,"Bản vẽ Băng đạn MP5 (X-Products) 50 viên[-]"
schematicmag_mp5_x_products_x_5_9x19_50Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn MP5 (X-Products) 50 viên"
schematicmag_uzi_beta_cmag_9x19_100,"Bản vẽ Băng đạn Uzi (beta-CMAG) 100 viên[-]"
schematicmag_uzi_beta_cmag_9x19_100Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Uzi (beta-CMAG) 100 viên"
schematicmag_glock_glock_big_stick_9x19_33,"Bản vẽ Băng đạn Glock (Big Stick) 33 viên[-]"
schematicmag_glock_glock_big_stick_9x19_33Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Glock (Big Stick) 33 viên"
schematicmag_glock_sgmt_glock_drum_50_9x19_50,"Bản vẽ Băng đạn trống Glock (SGMT) 50 viên[-]"
schematicmag_glock_sgmt_glock_drum_50_9x19_50Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn trống Glock (SGMT) 50 viên"
schematicmag_glock_beta_cmag_9x19_100,"Bản vẽ Băng đạn Glock (Beta Cmag) 100 viên[-]"
schematicmag_glock_beta_cmag_9x19_100Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Glock (Beta Cmag) 100 viên"
schematicmag_mpx_tti_sig_mag_w_base_pad_9x19_41,"Bản vẽ Băng đạn MPX TTI SIG 41 viên[-]"
schematicmag_mpx_tti_sig_mag_w_base_pad_9x19_41Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn MPX TTI SIG 41 viên"
schematicmag_mpx_f5_mpx_drum_9x19_50,"Bản vẽ Băng đạn MPX (F5) 50 viên[-]"
schematicmag_mpx_f5_mpx_drum_9x19_50Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn MPX (F5) 50 viên"
schematicmag_ump45_omnitech_casket_45acp_50,"Bản vẽ Băng đạn UMP5 Omnitech Casket (.45ACP) 50 viên[-]"
schematicmag_ump45_omnitech_casket_45acp_50Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn UMP5 Omnitech Casket (.45ACP) 50 viên"
schematicmag_ump45_custom_cmag_45acp_100,"Bản vẽ Băng đạn UMP45 (.45ACP) 100 viên[-]"
schematicmag_ump45_custom_cmag_45acp_100Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn UMP45 (.45ACP) 100 viên"
schematicmag_thompson_m1921a_drum_45acp_100,"Bản vẽ Băng đạn trống Thompson 100 viên[-]"
schematicmag_thompson_m1921a_drum_45acp_100Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn trống Thompson 100 viên"
schematicmag_kriss_vector_omnitech_v50_45acp_50,"Bản vẽ Băng đạn Kriss Vector (Omnitech) 50 viên[-]"
schematicmag_kriss_vector_omnitech_v50_45acp_50Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Kriss Vector (Omnitech) 50 viên"
schematicmag_glock_beta_cmag_45acp_100,"Bản vẽ Băng đạn Glock (CMAG) 100 viên[-]"
schematicmag_glock_beta_cmag_45acp_100Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Glock (CMAG) 100 viên"
schematicmag_mp7_hk_std_46x30_40,"Bản vẽ Băng đạn MP7 40 viên[-]"
schematicmag_mp7_hk_std_46x30_40Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn MP7 40 viên"
schematicmag_mp7_custom_box_46x30_90,"Bản vẽ Băng đạn MP7 90 viên[-]"
schematicmag_mp7_custom_box_46x30_90Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn MP7 90 viên"
schematicmag_p90_custom_zaku_drum_57x28_100,"Bản vẽ Băng đạn P90 100 viên[-]"
schematicmag_p90_custom_zaku_drum_57x28_100Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn P90 100 viên"
schematicmag_p90_custom_zaku_drum_57x28_135,"Bản vẽ Băng đạn P90 135 viên[-]"
schematicmag_p90_custom_zaku_drum_57x28_135Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn P90 135 viên"
schematicmag_p90_custom_zaku_drum_57x28_200,"[FFD700]Bản vẽ Băng đạn P90 200 viên[-]"
schematicmag_p90_custom_zaku_drum_57x28_200Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn P90 200 viên"
schematicmag_ak74_izhmash_6L18_545x39_45,"Bản vẽ Băng đạn AK74 45 viên[-]"
schematicmag_ak74_izhmash_6L18_545x39_45Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn AK74 45 viên"
schematicmag_ak74_izhmash_6L31_545x39_60,"Bản vẽ Băng đạn AK74 60 viên[-]"
schematicmag_ak74_izhmash_6L31_545x39_60Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn AK74 60 viên"
schematicmag_ak_izhmash_rpk16_drum_545x39_95,"Bản vẽ Băng đạn AK74 95 viên[-]"
schematicmag_ak_izhmash_rpk16_drum_545x39_95Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn AK74 95 viên"
schematicmag_sks_promag_aalvx35_762x39_35,"Bản vẽ Băng đạn SKS (Promag) 35 viên[-]"
schematicmag_sks_promag_aalvx35_762x39_35Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn SKS (Promag) 35 viên"
schematicmag_sks_kci_drum_762x39_75,"Bản vẽ Băng đạn trống SKS (KCI) 75 viên[-]"
schematicmag_sks_kci_drum_762x39_75Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn trống SKS (KCI) 75 viên"
schematicmag_ak_izhmash_rpk_std_61_sector_762x39_40,"Bản vẽ Băng đạn AK 40 viên[-]"
schematicmag_ak_izhmash_rpk_std_61_sector_762x39_40Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn AK 40 viên"
schematicmag_ak_x_products_x_47_drum_762x39_50,"Bản vẽ Băng đạn AK 50 viên[-]"
schematicmag_ak_x_products_x_47_drum_762x39_50Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn AK 50 viên"
schematicmag_ak_molot_rpk_drum_762x39_75,"Bản vẽ Băng đạn AK 75 viên[-]"
schematicmag_ak_molot_rpk_drum_762x39_75Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn AK 75 viên"
schematicmag_ak_steel_drum_762x39_100,"Bản vẽ Băng đạn trống AK 100 viên[-]"
schematicmag_ak_steel_drum_762x39_100Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn trống AK 100 viên"
schematicmag_rpd_custom_box_762x39_200,"[FFD700]Bản vẽ Băng đạn RPD 200 viên[-]"
schematicmag_rpd_custom_box_762x39_200Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn RPD 200 viên"
schematicmag_ar10_xmag_762x51_35,"Bản vẽ Băng đạn AR10 (XMAG) 35 viên[-]"
schematicmag_ar10_xmag_762x51_35Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn AR10 (XMAG) 35 viên"
schematicmag_fal_ds_arms_fal_sa58_762x51_30,"Bản vẽ Băng đạn Fal 30 viên[-]"
schematicmag_fal_ds_arms_fal_sa58_762x51_30Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Fal 30 viên"
schematicmag_fal_x_products_x_fal_762x51_50,"Bản vẽ Băng đạn Fal 50 viên[-]"
schematicmag_fal_x_products_x_fal_762x51_50Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Fal 50 viên"
schematicmag_m14_x_products_drum_magazine_m14_762x51_50,"Bản vẽ Băng đạn trống M14 50 viên[-]"
schematicmag_m14_x_products_drum_magazine_m14_762x51_50Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn trống M14 50 viên"
schematicmag_mk17_x_drum_magazine_scar_h_762x51_50,"Bản vẽ Băng đạn trống MK17 50 viên[-]"
schematicmag_mk17_x_drum_magazine_scar_h_762x51_50Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn trống MK17 50 viên"
schematicmag_ar10_x_products_x_25_drum_762x51_50,"Bản vẽ Băng đạn trống AR10 50 viên[-]"
schematicmag_ar10_x_products_x_25_drum_762x51_50Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn trống AR10 50 viên"
schematicmag_mk17_scar_h_cmag_100,"Bản vẽ Băng đạn MK17 100 viên[-]"
schematicmag_mk17_scar_h_cmag_100Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn MK17 100 viên"
schematicmag_m14_beta_cmag_762x51_100,"Bản vẽ Băng đạn M14 100 viên[-]"
schematicmag_m14_beta_cmag_762x51_100Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn M14 100 viên"
schematicmag_m60_custom_welded_tribox_762x51_250,"[FFD700]Bản vẽ Băng đạn M60 250 viên[-]"
schematicmag_m60_custom_welded_tribox_762x51_250Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn M60 250 viên"
schematicmag_svd_izhmash_svd_std_762x54_20,"Bản vẽ Băng đạn SVD 20 viên[-]"
schematicmag_svd_izhmash_svd_std_762x54_20Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn SVD 20 viên"
schematicmag_svd_makeshift_drum_762x54R_55,"Bản vẽ Băng đạn trống SVD (Tự chế) 55 viên[-]"
schematicmag_svd_makeshift_drum_762x54R_55Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn trống SVD (Tự chế) 55 viên"
schematicmag_pk_custom_box_762x54r_200,"[FFD700]Bản vẽ Băng đạn PK 200 viên[-]"
schematicmag_pk_custom_box_762x54r_200Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn PK 200 viên"
schematicmag_aug_steyr_std_556x45_42,"Bản vẽ Băng đạn Aug (Steyr) 42 viên[-]"
schematicmag_aug_steyr_std_556x45_42Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Aug (Steyr) 42 viên"
schematicmag_aug_magpul_pmag_d_60_556x45_60,"Bản vẽ Băng đạn Aug (Magpul) 60 viên[-]"
schematicmag_aug_magpul_pmag_d_60_556x45_60Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Aug (Magpul) 60 viên"
schematicmag_stanag_magpul_pmag_gen_m3_556x45_40,"Bản vẽ Băng đạn Stanag (Magpul) 40 viên[-]"
schematicmag_stanag_magpul_pmag_gen_m3_556x45_40Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Stanag (Magpul) 40 viên"
schematicmag_stanag_magpul_pmag_d_60_556x45_60,"Bản vẽ Băng đạn Stanag (Magpul) 60 viên[-]"
schematicmag_stanag_magpul_pmag_d_60_556x45_60Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Stanag (Magpul) 60 viên"
schematicmag_stanag_surefire_mag5_556x45_60,"Bản vẽ Băng đạn Stanag (SureFire) 60 viên[-]"
schematicmag_stanag_surefire_mag5_556x45_60Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Stanag (SureFire) 60 viên"
schematicmag_stanag_beta_c_mag_556x45_100,"Bản vẽ Băng đạn Stanag (Beta) 100 viên[-]"
schematicmag_stanag_beta_c_mag_556x45_100Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Stanag (Beta) 100 viên"
schematicmag_stanag_surefire_mag5_556x45_100,"Bản vẽ Băng đạn Stanag (SureFire) 100 viên[-]"
schematicmag_stanag_surefire_mag5_556x45_100Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Stanag (SureFire) 100 viên"
schematicmag_ak_molot_mag_223_556x45_45,"Bản vẽ Băng đạn AK (Molot) 45 viên[-]"
schematicmag_ak_molot_mag_223_556x45_45Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn AK (Molot) 45 viên"
schematicmag_vss_tochmash_vss_val_9x39_30,"Bản vẽ Băng đạn VSS (TochMash) 30 viên[-]"
schematicmag_vss_tochmash_vss_val_9x39_30Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn VSS (TochMash) 30 viên"
schematicmag_vss_tochmash_vss_val_9x39_45,"Bản vẽ Băng đạn VSS (TochMash) 45 viên[-]"
schematicmag_vss_tochmash_vss_val_9x39_45Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn VSS (TochMash) 45 viên"
schematicmag_ash12_ckib_127x55_40,"Bản vẽ Băng đạn ASH12 40 viên[-]"
schematicmag_ash12_ckib_127x55_40Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn ASH12 40 viên"
schematicmag_ash12_ckib_127x55_60,"Bản vẽ Băng đạn ASH12 60 viên[-]"
schematicmag_ash12_ckib_127x55_60Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn ASH12 60 viên"
schematicmag_sword_mk18_pmag_338lm_20,"Bản vẽ Băng đạn Sword 20 viên[-]"
schematicmag_sword_mk18_pmag_338lm_20Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Sword 20 viên"
schematicmag_870_remington_magazine_extension_12g_10,"Bản vẽ Bộ mở rộng Remington (870) 10 viên[-]"
schematicmag_870_remington_magazine_extension_12g_10Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Bộ mở rộng Remington (870) 10 viên"
schematicmag_m3_benelli_std_12g_7,"Bản vẽ Băng đạn Benelli (M3) 7 viên[-]"
schematicmag_m3_benelli_std_12g_7Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Benelli (M3) 7 viên"
schematicmag_m3_tonisystem_magazine_extension_12g_13,"Bản vẽ Băng đạn M3 (ToniSystem) 13 viên[-]"
schematicmag_m3_tonisystem_magazine_extension_12g_13Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn M3 (ToniSystem) 13 viên"
schematicmag_mr153_izhmeh_12g_8,"Bản vẽ Băng đạn MR153 8 viên[-]"
schematicmag_mr153_izhmeh_12g_8Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn MR153 8 viên"
schematicmag_saiga12_maxrounds_powermag_20_12x76_20,"Bản vẽ Băng đạn Saiga 20 viên[-]"
schematicmag_saiga12_maxrounds_powermag_20_12x76_20Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn Saiga 20 viên"
schematicmag_aa12_mps_aa12_drum_mag_12g_20,"Bản vẽ Băng đạn AA12 20 viên[-]"
schematicmag_aa12_mps_aa12_drum_mag_12g_20Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Băng đạn AA12 20 viên"

schematicsilencer_tt_custom_noname_762x25tt,"Bản vẽ Ống giảm thanh tùy chỉnh TT[-]"
schematicsilencer_tt_custom_noname_762x25ttDesc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh tùy chỉnh TT"
schematicsilencer_stechkin_aps_std_9x18pm,"Bản vẽ Ống giảm thanh Stechkin[-]"
schematicsilencer_stechkin_aps_std_9x18pmDesc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh Stechkin"
schematicsilencer_pp9_klin_custom_9x18pm,"Bản vẽ Ống giảm thanh tùy chỉnh PP9 Klin[-]"
schematicsilencer_pp9_klin_custom_9x18pmDesc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh tùy chỉnh PP9 Klin"
schematicsilencer_mount_silencerco_hybrid_46_multi,"Bản vẽ Ống giảm thanh đa năng Silencerco Hybrid[-]"
schematicsilencer_mount_silencerco_hybrid_46_multiDesc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh đa năng Silencerco Hybrid"
schematicsilencer_all_silencerco_osprey_9_9x19,"Bản vẽ Ống giảm thanh Silencerco Osprey[-]"
schematicsilencer_all_silencerco_osprey_9_9x19Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh Silencerco Osprey"
schematicsilencer_all_sig_srd_9_9x19,"Bản vẽ Ống giảm thanh Sig[-]"
schematicsilencer_all_sig_srd_9_9x19Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh"
schematicsilencer_uzi_pro_smg_custom_9x19,"Bản vẽ Ống giảm thanh[-]"
schematicsilencer_uzi_pro_smg_custom_9x19Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh Sig"
schematicsilencer_glock_fischer_development_fd917_9x19,"Bản vẽ Ống giảm thanh Glock Fischer[-]"
schematicsilencer_glock_fischer_development_fd917_9x19Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh Glock Fischer"
schematicsilencer_mpx_ronin_12_inch_supressor_9x19,"Bản vẽ Ống giảm thanh MPX Ronin[-]"
schematicsilencer_mpx_ronin_12_inch_supressor_9x19Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh MPX Ronin"
schematicsilencer_sr1mp_tochmash_sr1mp_std_9x21,"Bản vẽ Ống giảm thanh SR1MP Tochmash[-]"
schematicsilencer_sr1mp_tochmash_sr1mp_std_9x21Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh SR1MP Tochmash"
schematicsilencer_sr2m_tochmash_suppressor_9x21,"Bản vẽ Ống giảm thanh SR2 Tochmash[-]"
schematicsilencer_sr2m_tochmash_suppressor_9x21Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh SR2 Tochmash"
schematicsilencer_base_silencerco_omega_45k_1143x23,"Bản vẽ Ống giảm thanh Silencerco Omega[-]"
schematicsilencer_base_silencerco_omega_45k_1143x23Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh Silencerco Omega"
schematicsilencer_ump_bt_ump_45_1143x23,"Bản vẽ Ống giảm thanh UMP 45[-]"
schematicsilencer_ump_bt_ump_45_1143x23Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh UMP 45"
schematicsilencer_mp7_bt_rotex_2_46x30,"Bản vẽ Ống giảm thanh MP7 Rotex[-]"
schematicsilencer_mp7_bt_rotex_2_46x30Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh MP7 Rotex"
schematicsilencer_p90_fn_p90_attenuator_57x28,"Bản vẽ Ống giảm thanh P90 Attenuator[-]"
schematicsilencer_p90_fn_p90_attenuator_57x28Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh P90 Attenuator"
schematicsilencer_hk_ucp_46x30,"Bản vẽ Ống giảm thanh UCP HK[-]"
schematicsilencer_hk_ucp_46x30Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh UCP HK"
schematicsilencer_57_gemtech_sfn_57_57x28,"Bản vẽ Ống giảm thanh Gemtech 57[-]"
schematicsilencer_57_gemtech_sfn_57_57x28Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh Gemtech 57"
schematicsilencer_ak74_spectehnika_tgpa_545x39,"Bản vẽ Ống giảm thanh AK74 Spectehnika[-]"
schematicsilencer_ak74_spectehnika_tgpa_545x39Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh AK74 Spectehnika"
schematicmuzzle_ak_hexagon_reactor_muzzle_brake_545x39,"Bản vẽ Loa giảm giật AK Hexagon Reactor"
schematicmuzzle_ak_hexagon_reactor_muzzle_brake_545x39Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Loa giảm giật AK Hexagon Reactor"
schematicsilencer_hex_hexagon_wafflemaker_suppressor_545x39,"Bản vẽ Ống giảm thanh Hexagon Wafflemaker[-]"
schematicsilencer_hex_hexagon_wafflemaker_suppressor_545x39Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh Hexagon Wafflemaker"
schematicmuzzle_ak74_srvv_mbr_jet_545_545x39,"Bản vẽ Ống giảm thanh đầu nòng AK74 SRVV Jet[-]"
schematicmuzzle_ak74_srvv_mbr_jet_545_545x39Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh đầu nòng AK74 SRVV Jet"
schematicmuzzle_ak_zenit_dtk1_762x39_545x39,"Bản vẽ Ống giảm thanh AK Zenit[-]"
schematicmuzzle_ak_zenit_dtk1_762x39_545x39Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh AK Zenit"
schematicsilencer_hexagon_ak_762x39and545x39,"Bản vẽ Ống giảm thanh AK Hexagon[-]"
schematicsilencer_hexagon_ak_762x39and545x39Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh AK Hexagon"
schematicsilencer_ak12_izhmash_ak12_supressor_std_545x39,"Bản vẽ Bộ giảm thanh AK12 Izhmash"
schematicsilencer_ak12_izhmash_ak12_supressor_std_545x39Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Bộ giảm thanh AK12 Izhmash"
schematicmuzzle_mosin_tacfire_tanker_style_762x54r,"Bản vẽ Ống giảm thanh Mosin TacFire[-]"
schematicmuzzle_mosin_tacfire_tanker_style_762x54rDesc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh Mosin TacFire"
schematicsilencer_mosin_bramit_std_762x54r,"Bản vẽ Ống giảm thanh Mosin Bramit[-]"
schematicsilencer_mosin_bramit_std_762x54rDesc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh Mosin Bramit"
schematicsilencer_sv98_izhmash_silencer_std_762x54,"Bản vẽ Ống giảm thanh SV98 Izhmash[-]"
schematicsilencer_sv98_izhmash_silencer_std_762x54Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh SV98 Izhmash"
schematicmuzzle_sv_98_srw_dtk_jet_mk2_762x54r,"Bản vẽ Ống giảm thanh SV SRW 98 Jet[-]"
schematicmuzzle_sv_98_srw_dtk_jet_mk2_762x54rDesc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh SV SRW 98 Jet"
schematicmuzzle_svd_izhmash_svd_s_std_762x54,"Bản vẽ Ống giảm thanh SVD Izhmash[-]"
schematicmuzzle_svd_izhmash_svd_s_std_762x54Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh SVD Izhmash"
schematicsilencer_base_rotor43_svd_dtk_762x54,"Bản vẽ Ống giảm thanh Rotator43[-]"
schematicsilencer_base_rotor43_svd_dtk_762x54Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh Rotator43"
schematicmuzzle_pk_zenit_dtk_1p_762x54r,"Bản vẽ Loa giảm giật Zenit[-]"
schematicmuzzle_pk_zenit_dtk_1p_762x54rDesc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Loa giảm giật Zenit"
schematicmuzzle_ash12_ckib_ash12_std_127x55,"Bản vẽ Loa giảm giật ASH12 Ckib[-]"
schematicmuzzle_ash12_ckib_ash12_std_127x55Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Loa giảm giật ASH12 Ckib"
schematicsilencer_ash12_ckib_ash12_std_127x55,"Bản vẽ Ống giảm thanh ASH12 Ckib[-]"
schematicsilencer_ash12_ckib_ash12_std_127x55Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh ASH12 Ckib"
schematicsilencer_sdqd_griffin_m4sd_k_silencer_556x45,"Bản vẽ Ống giảm thanh Griffin[-]"
schematicsilencer_sdqd_griffin_m4sd_k_silencer_556x45Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh Griffin"
schematicsilencer_socom_surefire_socom556_rc2_556x45,"Bản vẽ Ống giảm thanh Socom SureFire[-]"
schematicsilencer_socom_surefire_socom556_rc2_556x45Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh Socom SureFire"
schematicmuzzle_ar15_ferfrans_muzzle_brake_556x45,"Bản vẽ Loa giảm giật AR15 Ferfans[-]"
schematicmuzzle_ar15_ferfrans_muzzle_brake_556x45Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh đầu nòng AR15 Ferfans"
schematicmuzzle_ar15_double_star_carlson_tac_comp_556x45,"Bản vẽ Loa giảm giật chiến thuật AR15 Double Star Carlson[-]"
schematicmuzzle_ar15_double_star_carlson_tac_comp_556x45Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Loa giảm giật chiến thuật AR15 Double Star Carlson"
schematicmuzzle_ar15_alientech_gubich_muzzle_brake_556x45,"Bản vẽ Loa giảm giật AR15 AlienTech Gubich[-]"
schematicmuzzle_ar15_alientech_gubich_muzzle_brake_556x45Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Loa giảm giật AR15 AlienTech Gubich"
schematicmuzzle_ar10_15_thunder_beast_muzzle_brake,"Bản vẽ Loa giảm giật AR10 ThunderBeast[-]"
schematicmuzzle_ar10_15_thunder_beast_muzzle_brakeDesc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Loa giảm giật AR10 ThunderBeast"
schematicsilencer_tbac_thunder_beast_ultra_5,"Bản vẽ Ống giảm thanh TBAC Thunderbeast[-]"
schematicsilencer_tbac_thunder_beast_ultra_5Desc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh TBAC Thunderbeast"
schematicsilencer_aac_sdn_6_multi,"Bản vẽ Ống giảm thanh đa năng AAC[-]"
schematicsilencer_aac_sdn_6_multiDesc,"Đọc bản vẽ này cho phép bạn chế tạo Phụ kiện Ống giảm thanh đa năng AAC"
