gunBotRoboticsParts,items,Gun,,,Robotics Parts,,Robotikteile,Partes de robótica,Pièces de robotique,Parti robotiche,ロボットパーツ,로보틱 터렛 부품,Robotyczne części,Peças de Robótica,Части роботизированной пушки,Robot Parçaları,机器人零件,機器人零件
shotgunsSkillMagazineDesc,items,Gun,,,"Whether it's single shot, double barrel, pump, or auto shotguns, we have you covered!\n\nImproves shotgun crafting skill.",,"Ob es sich um Einzelschuss-, Doppellauf-, Pump- oder automatische Schrotflinten handelt, wir haben alles im Angebot!\n\nVerbessert die Fertigkeit zur Fertigung von Schrotflinten.","Ya sean de un solo disparo, de doble cañón, de bombeo o automáticas, ¡tenemos lo que necesitas!\n\nMejora la habilidad de fabricación de escopetas.","Que vous cherchiez des fusils mono coups, à double canon, à pompes ou automatiques, nous avons tout ce qu'il vous faut !\n\nAméliore la compétence de fabrication de fusils à pompe.","Che sia a colpo singolo, con doppia canna, a compressione o automatico, ci pensiamo noi!\n\nMigliora le abilità di creazione dei fucili.",シングルショット、2連、ポンプ、オートなど、あらゆる種類のショットガンを紹介！\n\nショットガンのクラフトスキルを向上させます。,"싱글 배럴, 더블 배럴, 펌프, 자동, 모든 샷건이 준비되어 있습니다!\n\n샷건 제작 스킬을 향상시킵니다.","Jednostrzałowa, dwururka, pompa czy automat – tu znajdziesz wszystko o każdej strzelbie!\n\nRozwija umiejętność wytwarzania strzelb.","Seja espingarda de tiro único, de cano duplo, de pressão ou automática, esta é a revista para você!\n\nMelhora a habilidade de fabricação de espingardas.","Не важно, что вы предпочитаете: одноствольные, двуствольные, помповые или автоматические дробовики. Мы вас поддержим!\n\nУлучшает навык изготовления дробовиков.","Tek veya çift namlulu, pompalı veya otomatik pompalı tüfek olsun, hepsi bu dergide!\n\nPompalı tüfek üretme becerisini geliştirir.",不管你是要单发、双管、泵枪还是自动霰弹枪，我们都能满足你的需求！\n\n提高霰弹枪的制作技能。,不管你想了解單發、雙管、泵動式，還是自動散彈獵槍，都能在本刊找到解答！\n\n增進散彈獵槍製作技能。
thrownAmmoMolotovCocktail,items,Gun,,,Molotov Cocktail (Ammo),,Molotowcocktail (Munition),Cóctel molotov (munición),Cocktail Molotov (munition),Molotov,モロトフ・カクテル（弾薬）,화염병 (탄약),Koktajl Mołotowa (amunicja),Coquetel Molotov (munição),Коктейль Молотова (боеприпасы),Molotof Kokteyli (Mühimmat),燃烧瓶（弹药）,燃燒彈（彈藥）
thrownAmmoMolotovCocktailDesc,items,Gun,,,Page one of the Anarchist's Cookbook.\nLight with [action:local:Secondary]\nThrow with [action:local:Primary],,Seite eins des Anarchist Cookbook.\nAnzünden mit [action:local:Secondary]\nWerfen mit [action:local:Primary],Primera página del libro Recetas de un anarquista.\nEnciéndelo con [action:local:Secondary]\nLánzalo con [action:local:Primary],Première page du livre de cuisine de l'anarchiste.\nÀ allumer avec [action:local:Secondary]\nÀ jeter avec [action:local:Primary],Pagina uno del Libro di ricette dell'anarchico.\nAccendi con [action:local:Secondary].\nLanciala con [action:local:Primary].,無政府主義者の辞書の一ページ目に掲載されています。\n[action:local:Secondary]で点火 / [action:local:Primary]で投擲,아나키스트라면 가장 먼저 배워야 할 제작법이죠.\n[action:local:Secondary] 불 붙이기\n[action:local:Primary] 투척,"Strona pierwsza książki „Książka kucharska anarchisty”.\nPodpal przy pomocy [action:local:Secondary]\nRzucaj, używając akcji głównej.",Página um do “Livro de receitas do anarquista”.\nAcenda com [action:local:Secondary]\nLance com [action:local:Primary],Первая страница «Кулинарной книги анархиста».\nПоджигайте с помощью [action:local:Secondary]\nБросайте с помощью [action:local:Primary],Anarşistin Yemek Kitabının ilk sayfasında yer alır.\n[action:local:Secondary] ile ateşe ver.\n[action:local:Primary] ile fırlat.,《无政府主义者食谱》的第一页。\n使用[action:local:Secondary]点燃\n使用[action:local:Primary]投掷,無政府主義者食譜的第一頁。\n用[action:local:Secondary]點燃，\n然後用[action:local:Primary]投擲出去。
thrownAmmoPipeBomb,items,Gun,,,Pipe Bomb (Ammo),,Rohrbombe (Munition),Bomba de Tubo (munición),Bombe-tuyau (munition),Tubo bomba,パイプ爆弾（弾薬）,파이프 폭탄 (탄약),Rurobomba (amunicja),Bomba caseira (munição),Самодельная бомба (боеприпасы),Boru Bombası (Mühimmat),管状炸弹（弹药）,管狀炸彈（彈藥）
thrownAmmoPipeBombDesc,items,Gun,,,"Make pipe bombs with gunpowder, pipes & plant fibers.\nLight with [action:local:Secondary]\nThrow with [action:local:Primary]",,"Fertige Rohrbomben aus Schießpulver, Rohren und Pflanzenfasern.\nAnzünden mit [action:local:Secondary]\nWerfen mit [action:local:Primary]","Fabrica bombas caseras con pólvora, tuberías y fibra vegetal.\nEnciéndelas con [action:local:Secondary]\nLánzalas con [action:local:Primary]","Fabriquez des bombes-tuyaux grâce à de la poudre à canon, des tuyaux et des fibres végétales.\nÀ allumer avec [action:local:Secondary]\nÀ jeter avec [action:local:Primary]","Per fare i tubi bomba servono polvere da sparo, tubi e fibre vegetali.\nAccendi con [action:local:Secondary].\nLancia con [action:local:Primary].",パイプ爆弾は、火薬、パイプ、植物繊維から作ります。\n[action:local:Secondary]で点火 / [action:local:Primary]で投擲,"화약, 파이프, 식물 섬유로 파이프 폭탄을 제작할 수 있습니다.\n[action:local:Secondary] 불붙이기\n[action:local:Primary] 투척","Aby zrobić rurobombę, potrzebujesz prochu strzelniczego, rur i włókien roślinnych.\nPodpalaj przy pomocy [action:local:Secondary].\nRzucaj przy pomocy [action:local:Primary].","Faça bombas caseiras com pólvora, canos e fibras vegetais.\nAcenda com [action:local:Secondary]\nLance com [action:local:Primary]","Делайте самодельные бомбы из пороха, труб и стеблей травы.\nПоджигайте с помощью [action:local:Secondary]\nБросайте с помощью [action:local:Primary]","Barut, boru ve bitki liflerini kullanarak boru bombaları yapabilirsin.\n[action:local:Secondary] ile ateşe ver.\n[action:local:Primary] ile fırlat.",使用火药、管子和植物纤维制作管状炸弹。\n使用[action:local:Secondary]点燃\n使用[action:local:Primary]投掷,用火藥、管子和植物纖維製造的管狀炸彈。\n用[action:local:Secondary]點燃，\n然後用[action:local:Primary]投擲出去。
thrownAmmoPipeBombSchematic,items,Gun,,,Pipe Bomb Schematic,,Bauplan – Rohrbombe,Bomba de Tubo (munición),Schéma de bombe-tuyau,Schema del tubo bomba,設計図「パイプ爆弾」,파이프 폭탄 도면,Rurobomba — schemat,Diagrama de Bomba Caseira,Схема самодельной бомбы,Boru Bombası Şeması,管状炸弹设计图,管狀炸彈原理圖
thrownDynamite,items,Gun,,,Stick of Dynamite (Ammo),,Dynamitstange (Munition),Cartucho de dinamita (munición),Bâton de dynamite (munition),Candelotto di dinamite,ダイナマイトスティック（弾薬）,다이너마이트 한 개,Laska dynamitu (amunicja),Banana de dinamite (munição),Динамитная шашка (боеприпасы),Dinamit Lokumu (Mühimmat),柱状炸药（弹药）,柱狀炸藥包（彈藥）
thrownDynamiteDesc,items,Gun,,,A stick of dynamite.\nLight with [action:local:Secondary]\nThrow with [action:local:Primary]\nThe throwing part is very important.,,Eine Dynamitstange.\nAnzünden mit [action:local:Secondary]\nWerfen mit [action:local:Primary]\nDer Teil mit dem Werfen ist besonders wichtig.,Un cartucho de dinamita.\nEnciéndelo con [action:local:Secondary]\nLánzalo con [action:local:Primary]\nEs muy importante lanzarlo.,Un bâton de dynamite.\nÀ allumer avec [action:local:Secondary]\nÀ jeter avec [action:local:Primary]\nL'action de jeter est la plus importante.,Un candelotto di dinamite.\nAccendi con [action:local:Secondary].\nLancia con [action:local:Primary].\nLa fase del lancio è molto importante.,ダイナマイトスティック。\n[action:local:Secondary]で点火 / [action:local:Primary]で投擲\n投擲することが非常に大切です。,다이너마이트입니다.\n[action:local:Secondary] 불붙이기\n[action:local:Primary] 투척\n투척이 매우 중요합니다.,Laska dynamitu.\nPodpalaj przy pomocy [action:local:Secondary].\nRzucaj przy pomocy [action:local:Primary].\nNigdy nie zapominaj o rzucie!,Banana de dinamite.\nAcenda com [action:local:Secondary]\nLance com [action:local:Primary]\nA parte de lançar é muito importante.,Динамитная шашка.\nПоджигайте с помощью [action:local:Secondary]\nБросайте с помощью [action:local:Primary]\nНе забывайте бросить шашку.,Bir dinamit lokumu.\n[action:local:Secondary] ile ateşe ver.\n[action:local:Primary] ile fırlat.\nFırlatmayı sakın unutma.,柱状炸药。\n使用[action:local:Secondary]点燃\n使用[action:local:Primary]投掷\n投掷过程十分重要。,柱狀炸藥包。\n用[action:local:Secondary]點燃，\n然後用[action:local:Primary]投擲出去。\n投擲動作十分關鍵。
thrownDynamiteSchematic,items,Gun,,,Stick of Dynamite Schematic,,Bauplan – Dynamitstange,Esquema de cartucho de dinamita,Schéma de bâton de dynamite,Schema del candelotto di dinamite,設計図「ダイナマイトスティック」,다이너마이트 한 개 도면,Laska dynamitu — schemat,Diagrama de Banana de Dinamite,Схема динамитной шашки,Dinamit Lokumu Şeması,柱状炸药设计图,柱狀炸藥包原理圖
thrownGrenade,items,Gun,,,Grenade (Ammo),,Granate (Munition),Granada (munición),Grenade (munition),Granata,手榴弾（弾薬）,수류탄 (탄약),Granat (amunicja),Granada (munição),Граната (боеприпасы),El Bombası (Mühimmat),手雷（弹药）,手榴彈（彈藥）
thrownGrenadeContact,items,Gun,,,Contact Grenade (Ammo),,Aufschlagzünder (Munition),Granada de contacto (munición),Grenade de contact (munition),Granata a percussione,接触起爆手榴弾（弾薬）,접촉 수류탄 (탄약),Granat kontaktowy (amunicja),Granada de contato (munição),Контактная граната (боеприпасы),Temasta Patlayan Bomba (Mühimmat),触炸手雷（弹药）,觸發手榴彈（彈藥）
thrownGrenadeContactDesc,items,Gun,,,Contact-fused grenades are volatile devices that explode on contact when armed.\nArm with [action:local:Secondary]\nThrow with [action:local:Primary],,"Kontaktgranaten sind flüchtige Vorrichtungen, die bei Kontakt explodieren, wenn sie scharf sind.\nBewaffnen mit [action:local:Secondary]\nWerfen mit [action:local:Primary]",Las granadas que se activan al contacto son dispositivos volátiles que explotan al contacto cuando están activadas.\nActívala con [action:local:Secondary]\nLánzala con [action:local:Primary],Les grenades de contact à mèches sont des dispositifs volatiles qui explosent au contact lorsqu'amorcées.\nÀ amorcer avec [action:local:Secondary]\nÀ jeter avec [action:local:Primary],Le granate a fusione a percussione sono dispositivi instabili che esplodono al contatto quando armati.\nArma con [action:local:Secondary].\nLancia con [action:local:Primary].,接触起爆手榴弾は、何かに接触すると爆発します。\n\nうっかり落とさないよう、お気を付けください。\n\n[action:local:Secondary]でピンを抜き、[action:local:Primary]で投擲。\n\n長押しするとチャージする事が出来、遠くまで投げる事が可能になります。,"접촉 시 인화되는 수류탄으로, 매우 불안정하며 준비된 상태에서는 닿으면 터집니다.\n[action:local:Secondary] 준비\n[action:local:Primary] 투척",Uzbrojony granat z detonatorem kontaktowym wybucha przy uderzeniu.\nUzbrój przy pomocy [action:local:Secondary].\nRzuć przy pomocy [action:local:Primary].,Granadas com pavio de contato são voláteis e explodem ao contato depois de armadas.\nArme com [action:local:Secondary]\nLance com [action:local:Primary],"Гранаты с контактной детонацией — опасные вещицы, которые во взведенном состоянии взрываются при контакте.\nВзводите с помощью [action:local:Secondary]\nБросайте с помощью [action:local:Primary]","Temasta patlayan el bombaları, donatıldıklarında temas durumunda patlayan son derece dengesiz silahlardır.\n[action:local:Secondary] ile donan.\n[action:local:Primary] ile fırlat.",接触式引信手榴弹是一种不稳定的装置，装备后一旦接触就会爆炸。\n使用[action:local:Secondary]装备\n使用[action:local:Primary]投掷,裝觸發引信的手榴彈極度不穩定，啟動後只要一接觸就會爆炸。\n用[action:local:Secondary]啟動手榴彈，\n然後用[action:local:Primary]投擲出去。
thrownGrenadeContactSchematic,items,Gun,,,Contact Grenade Schematic,,Bauplan – Aufschlagzünder,Esquema de granada de contacto,Schéma de grenade de contact,Schema della granata a percussione,設計図「接触起爆手榴弾」,접촉 수류탄 도면,Granat kontaktowy — schemat,Diagrama de Granada de Contato,Схема контактной гранаты,Temasta Patlayan Bomba Şeması,触炸手雷设计图,觸發手榴彈原理圖
thrownGrenadeDesc,items,Gun,,,Pull pin. Throw.\nArm with [action:local:Secondary]\nThrow with [action:local:Primary],,Stift ziehen. Werfen.\nBewaffnen mit [action:local:Secondary]\nWerfen mit [action:local:Primary],Quita el seguro para lanzarla.\nActívala con [action:local:Secondary]\nLánzala con [action:local:Primary],Retirez la goupille. Jetez.\nÀ amorcer avec [action:local:Secondary]\nÀ jeter avec [action:local:Primary],Tira la linguetta. Lancia.\nArma con [action:local:Secondary].\nLancia con [action:local:Primary].,[action:local:Secondary]でピンを抜き、[action:local:Primary]で投擲。\n\n長押しするとチャージする事が出来、遠くまで投げる事が可能になります。,핀을 뽑습니다. 던집니다.\n[action:local:Secondary] 준비\n[action:local:Primary] 투척,Odbezpiecz i rzuć.\nUzbrój przy pomocy [action:local:Secondary].\nRzuć przy pomocy [action:local:Primary].,Puxe o pino. Arremesse.\nArme com [action:local:Secondary]\nLance com [action:local:Primary],Выдерните чеку. Бросайте.\nВзводите с помощью [action:local:Secondary]\nБросайте с помощью [action:local:Primary],Pimini çek. Fırlat.\n[action:local:Secondary] ile donan.\n[action:local:Primary] ile fırlat.,拔出插销。扔出去。\n使用[action:local:Secondary]装备\n使用[action:local:Primary]投掷,拉開引信，投就對了。\n用[action:local:Secondary]啟動手榴彈，\n然後用[action:local:Primary]投擲出去。
thrownGrenadeSchematic,items,Gun,,,Grenade Schematic,,Bauplan – Granate,Esquema de granada,Schéma de grenade,Schema della granata,設計図「手榴弾」,수류탄 도면,Granat — schemat,Diagrama de Granada,Схема гранаты,El Bombası Şeması,手雷设计图,手榴彈原理圖
thrownTimedCharge,items,Gun,,,Timed Charge (Ammo),,Zeitzünder (Munition),Carga con temporizador (munición),Charge programmée (munition),Bomba a orologeria,時限爆弾（弾薬）,시한 폭탄 (탄약),Ładunek z detonatorem czasowym (amunicja),Carga cronometrada (munição),Взрывчатка с часовым механизмом (боеприпасы),Saatli Bomba (Mühimmat),定时炸弹（弹药）,定時炸彈（彈藥）
thrownTimedChargeDesc,items,Gun,,,"A shaped charge designed for delicate work like blowing off a safe lock, a door, or a zombie's head. Automatically detonates after 5 seconds. Want to bring the house down? Try some dynamite instead.\nArm with [action:local:Secondary]\nThrow with [action:local:Primary]",,"Eine Hohlladung für heikle Aufgaben wie das Sprengen eines Tresorschlosses, einer Tür oder des Kopfes eines Zombies. Explodiert nach 5 Sekunden automatisch. Du willst was abreißen? Probiere es mit Dynamit.\nScharf machen mit [action:local:Secondary]\nWerfen mit [action:local:Primary]","Una carga con forma diseñada para trabajos delicados como volar la cerradura de una caja fuerte, una puerta o la cabeza de un zombi. Detona automáticamente a los 5 segundos. ¿Quieres derribar la casa? Prueba con dinamita.\nActívala con [action:local:Secondary]\nLánzala con [action:local:Primary]","Une charge modelée conçue pour les tâches minutieuses telles que faire exploser la serrure d'un coffre-fort, une porte ou encore la tête d'un zombie. Explose automatiquement après 5 secondes. Si vous voulez détruire une maison, tournez-vous plutôt vers de la dynamite.\nÀ amorcer avec [action:local:Secondary]\nÀ jeter avec [action:local:Primary]","Una carica esplosiva per i lavori più delicati, come fare esplodere un blocco di sicurezza, una porta o la testa di uno zombie. Esplode automaticamente dopo 5 secondi. Vuoi distruggere una casa? Prova a usare la dinamite.\nArma con [action:local:Secondary]\nLancia con [action:local:Primary]",金庫の鍵やドア、ゾンビの頭を吹き飛ばすような繊細な作業用に設計された成形爆薬。5秒後に自動的に爆発する。家を崩落させたい？ならばダイナマイトを使いましょう。[action:local:Secondary]でセットし、　[action:local:Primary]で投擲。,"금고 자물쇠, 문, 좀비 머리를 날리는 등 정밀한 작업에 쓸 수 있는 성형 폭탄입니다. 5초 뒤에 자동으로 폭발합니다. 왜 집을 무너뜨리려고 하시죠? 그냥 다이너마이트를 쓰세요.\n[action:local:Secondary]로 설치\n[action:local:Primary]로 투척","Ukształtowany ładunek do delikatnych zastosowań, na przykład zniszczenia zamku sejfu, drzwi lub głowy zombie. Automatyczna detonacja po 5 sekundach. Chcesz zburzyć budynek? Lepiej użyj dynamitu.\nUzbrój przy pomocy [action:local:Secondary].\nRzuć przy pomocy [action:local:Primary].","Uma carga moldada e projetada para trabalhos delicados, como explodir uma fechadura, uma porta ou a cabeça de um zumbi. Detona automaticamente após 5 segundos. Quer colocar tudo a baixo? Experimente dinamite.\nArme com [action:local:Secondary]\nLance com [action:local:Primary].","Кумулятивный заряд для деликатных задач: взорвать запор сейфа, двери или голову зомби. Автоматически детонирует через 5 секунд. Нужно снести целый дом? Воспользуйтесь динамитом.\nВзводите с помощью [action:local:Secondary]\nБросайте с помощью [action:local:Primary]","Bir kasanın kilidini, bir kapıyı ya da bir zombinin kafasını havaya uçurmak gibi hassas işler için tasarlanmış bir bomba. 5 saniye sonunda otomatik olarak patlar. Ortalık yıkılsın mı istiyorsun? Bunun yerine dinamit dene.\n[action:local:Secondary] ile donan\n[action:local:Primary] ile at",一款用于进行炸开保险箱锁、门或者丧尸脑袋等精细工作的成型炸药，会在 5 秒后自动引爆。想把房子夷为平地？试试用炸药吧。\n用[action:local:Secondary]来安装\n用[action:local:Primary]来投掷,聚能炸藥是專為小範圍任務設計的，例如炸開保險箱、門或殭屍的頭。自動引爆時間為 5 秒。如果你想炸的是整棟房子，那就改用一般炸藥吧。\n按 [action:local:Secondary] 裝備\n按 [action:local:Primary] 投擲
