perkFortitudeMasteryDesc,progression,perk For,,,Master Fortitude Skills,,Meisterhafte Fertigkeiten der Standhaftigkeit,Domina las habilidades de fortaleza.,Maîtrisez les compétences de courage.,Padroneggia le abilità di resilienza,忍耐スキルをマスターします,불굴의 정신 스킬 마스터,Umiejętności mistrzostwa hartu,Domine as habilidades de Robustez.,Освойте навыки стойкости,Uzman Dayanma Becerileri,强健技能大师,精通所有堅韌技能
perkBetterBarterRank5LongDesc,progression,perk Int,,,You are like a Corporate Manager and buy goods at the lowest prices and sell for a huge profit. Get a 25% better deal buying and selling with traders.,,"Wie ein Unternehmensmanager kaufst du Waren zum niedrigsten Preis und verkaufst sie mit gewaltigem Gewinn weiter. Du steigst 25 % besser aus Geschäften mit Händlern aus, sowohl im An- als auch im Verkauf.","Eres como un gerente corporativo, compras bienes a los precios más bajos y vendes con una ganancia enorme. Obtén un 25 % más de descuento comprando y vendiendo con los comerciantes.","Votre expérience a porté ses fruits. Vous achetez au plus bas prix, et vos ventes vous rapportent un maximum de bénéfices. Tous les articles que vous achetez ou vendez à des marchands profitent d'un bonus de 25 %.",Hai la stoffa del manager aziendale: acquisti merci ai prezzi più convenienti e le rivendi ricavando un enorme profitto. Fai un affare migliore del 25% comprando e rivendendo ai negozianti.,あなたはまるでコーポレートマネージャー。最低価格で買い、最大利益で売ることができます。トレーダーでの売買価格が25%得になる。,당신은 마치 기업 관리자같군요. 물건을 가장 저렴한 가격에 사고 엄청난 이익을 남길 수 있게 되팔잖아요. 상인에게 물건을 구매하고 판매할 때 25% 더 이익을 받게 됩니다.,"Kupujesz najtaniej, sprzedajesz najdrożej, zupełnie jak szef prężnie działającej korporacji. U handlarzy uzyskuj ceny kupna i sprzedaży korzystniejsze o 25%.",Você é um gestor corporativo: compra mercadorias pelo melhor preço e vende com o maior lucro possível. Consiga preços 25% melhores ao comprar e vender com comerciantes.,Вы как глава корпорации — покупаете товар по самым низким ценам и продаете с огромной прибылью. Вы получаете на 25% больше выгоды в сделках купли-продажи с торговцами.,"Kurumsal Yöneticiye benziyor, malları en ucuz fiyattan alıp en fazla kârla satıyorsun. Tüccarlardan %25 daha iyi alış ve satış teklifleri al.",你就像一名公司经理一样，能在最低的价格买入商品，随后卖出获得巨大的利润。在商贩处购买或售出商品时获得25%优惠。,你表現得像一名公司經理，以最低價格買入貨物，以最大利潤銷售貨物。與商人進行買賣時獲得 25% 的優惠。
perkCharismaticNatureDesc,progression,perk Int,,,"You are an inspiration to your allies, increasing their combat prowess.",,Du bist eine Inspiration für deine Verbündeten und steigerst ihre Kampffähigkeiten.,"Eres una inspiración para tus aliados, aumentando su destreza en el combate.","Vous êtes une source d'inspiration pour tous vos alliés, et améliorez leurs prouesses martiales.","Motivi i tuoi alleati, aumentando la loro abilità di combattimento.",あなたは同盟を感化する存在で、仲間の戦闘力を上げます。,아군의 전투 기량을 증가시키며 영감을 줍니다.,"Inspirujesz sojuszników, zwiększając ich zdolności bojowe.",Você inspira seus aliados e aumenta a proeza de combate deles.,"Вы вдохновляете своих союзников, повышая их боевую доблесть.","Müttefiklerine ilham veriyor, savaş becerilerini artırıyorsun.",你的存在能鼓舞你的队友，增强他们的战斗能力。,你可以鼓舞到你的盟友，增加他們的戰鬥力。
perkCharismaticNatureName,progression,perk Int,,,Charismatic Nature,,Charismatischer Auftritt,Naturaleza carismática,Charisme naturel,Indole carismatica,カリスマ性,카리스마 있는 성격,Dar charyzmy,Natureza Carismática,Харизматичная натура,Doğuştan Karizmatik,魅力十足,富有魅力的性格
perkCharismaticNatureRank1Desc,progression,perk Int,,,Inspirational,,Inspiration,Inspiracional,Inspirant,Motivante,鼓舞,영감을 주는 사람,Inspirująca obecność,Inspirador,Душа компании,İlham Veren,鼓舞士气,鼓舞人心
perkCharismaticNatureRank1LongDesc,progression,perk Int,,,People find your survival stories inspiring.\nAllies and Party Members regenerate lost health 50% faster.,,Die Leute finden deine Überlebensgeschichten inspirierend.\nVerbündete und Gruppenmitglieder stellen verlorene Gesundheit 50 % schneller wieder her.,Las personas piensan que tus historias de supervivencia son inspiradoras.\nLos aliados y los miembros del grupo regeneran la salud perdida un 50 % más rápido.,Les gens trouvent l'inspiration dans vos histoires de survie.\nLes alliés et les membres du groupe régénèrent la santé perdue 50 % plus vite.,La gente trova motivanti i tuoi racconti di sopravvivenza.\nGli alleati e i membri del gruppo rigenerano la salute persa il 50% più velocemente.,あなたのサバイバルストーリーが人々に感動を与える。\n同盟を組んでいるプレイヤーやパーティーメンバーの体力回復速度50%上昇。,사람들이 당신의 생존담을 감명 깊게 듣습니다.\n아군 및 파티원들이 잃은 체력을 50% 더 빨리 재생합니다.,Twoje opowieści o walce o przetrwanie inspirują ludzi.\nSojusznicy i członkowie drużyny odzyskują utracone zdrowie 50% szybciej.,As pessoas acham inspiradoras as suas histórias de sobrevivência.\nAliados e membros da equipe regeneram a vida 50% mais rápido.,Люди считают ваши рассказы про выживание вдохновляющими.\nСоюзники и члены группы восстанавливают здоровье на 50% быстрее.,İnsanlar senin hayatta kalma hikayelerinden ilham alıyor.\nMüttefiklerin ve Grup Üyelerinin kaybedilen sağlıkları %50 daha hızlı iyileşir.,大家觉得你的求生故事鼓舞人心。\n盟友和队员的生命值恢复速度提高50%。,大家都覺得你的生存故事令人動容。\n盟友及隊友恢復生命值的速度提升 50%。
perkCharismaticNatureRank2Desc,progression,perk Int,,,Team Leader,,Teamleiter,Líder del equipo,Chef d'équipe,Caposquadra,チームリーダー,팀 리더,Lider zespołu,Líder da Equipe,Лидер команды,Takım Lideri,团队领导,團隊領袖
perkCharismaticNatureRank2LongDesc,progression,perk Int,,,You're a team leader that empowers others.\nAllies and Party Members gain 20% more Block and Melee Damage.,,"Du bist ein Teamleiter, der andere stärkt.\nVerbündete und Gruppenmitglieder erhalten 20 % mehr Abwehr- und Nahkampfschaden.",Eres un líder de equipo que empodera a los demás.\nLos aliados y los miembros del grupo obtienen un 20 % más de daño en bloque y cuerpo a cuerpo.,Vous avez l'autorité dans le sang et vous savez motiver les autres.\nLes alliés et les membres du groupe gagnent 20 % de dégâts de bloc et de mêlée.,Sei un leader che ispira gli altri.\nGli alleati e i membri del gruppo ottengono il 20% di blocco e danni da mischia in più.,あなたは周囲に力を与えるチームリーダーです。\n同盟を組んでいるプレイヤーやパーティーメンバーのダメージ量と対物ダメージ量20%上昇。,당신은 다른 사람들에게 용기를 주는 팀 리더입니다.\n아군 및 파티원들이 블록 및 근접 대미지를 20% 더 가합니다.,"Jesteś liderem zespołu, który motywuje innych.\nSojusznicy i członkowie drużyny zyskują 20% premii do blokowania i obrażeń w zwarciu.",Você é um líder que incentiva os outros.\nAliados e membros da equipe ganham 20% mais dano a bloco e corpo a corpo.,"Вы — лидер, за которым следуют люди.\nСоюзники и члены команды получают 20% к блоку и урону в ближнем бою.",Başkalarına güç veren bir takım liderisin.\nMüttefikler ve Grup Üyeleri %20 daha fazla Blok Hasar ve Yakın Dövüş Hasarı kazanır.,你是一个能给予他人力量的团队领袖。\n盟友和队员的格挡和近战伤害提高20%。,你成為了能夠鼓舞士氣的團隊領袖。\n盟友及隊友增加 20% 塊損壞、近戰傷害。
perkCharismaticNatureRank3Desc,progression,perk Int,,,Motivational Speaker,,Motivationsredner,Orador motivacional,Orateur né,Discorso motivazionale,モチベーショナルスピーカー,동기부여 연설자,Motywujący retor,Orador Motivacional,Вдохновитель,Motivasyon Veren Konuşmacı,激情发言人,勵志演説家
perkCharismaticNatureRank3LongDesc,progression,perk Int,,,"You're a strong motivational force.\nAllies and Party Members take 10% less damage from all sources, take half damage from bleeding and stop bleeding twice as fast.",,"Du hast das Talent, Leute so richtig zu motivieren.\nVerbündete und Gruppenmitglieder erleiden 10 % weniger Schaden aus allen Schadensquellen, erleiden nur halben Blutungsschaden und stoppen Blutungen doppelt so schnell.","Eres una fuerza motivadora.\nLos aliados y los miembros del grupo reciben un 10 % menos de daño de todo tipo, reciben la mitad del daño de sangrado y dejan de sangrar el doble de rápido.",Vous savez motiver vos troupes à la perfection.\nLes alliés et membres du groupe subissent 10 % de dégâts en moins. Le saignement ne leur inflige que la moitié des dégâts et ils en guérissent deux fois plus vite.,Hai una grande forza motivante.\nGli alleati e i membri del gruppo subiscono il 10% in meno dei danni e la metà dei danni procurati dal sanguinamento e smettono di sanguinare al doppio della velocità.,あなたには、やる気を起こさせる強い力があります。\n同盟を組んでいるプレイヤーやパーティーメンバーの被ダメージ量10%減少、流血ダメージ量と流血効果時間50%軽減。,"당신은 강한 동기를 부여하는 사람입니다.\n아군 및 파티원들이 모든 대미지를 10% 덜 받으며, 출혈 시 절반의 대미지만 입고 두 배 더 빠른 속도로 출혈이 멈춥니다.",Potrafisz zmotywować innych.\nSojusznicy i członkowie drużyny otrzymują 10% mniej obrażeń ze wszystkich źródeł. Otrzymują o połowę mniej obrażeń od krwawienia i zatrzymują krwawienie dwa razy szybciej.,"Você é uma grande força motivacional.\nAliados e membros da equipe recebem menos 10% de dano de todas as fontes, tomam metade do dano de sangramentos e estancam sangramentos duas vezes mais rápido.","Вы обладаете большой мотивирующей силой.\nСоюзники и члены группы получают на 10% меньше урона любого типа, вдвое меньше урона от кровотечения, а кровотечение останавливается вдвое быстрее.","Motive etme kabiliyetin çok güçlü.\nMüttefikler ve Grup Üyeleri tüm kaynaklardan %10 daha az hasar alır, kanamadan yarı hasar alır ve kanamaları iki kat daha hızlı durur.",你很善于激发他人的热情。\n盟友和队员从所有来源受到的伤害减少10%，流血时伤害减半，止血速度加倍。,你是一股強大的激勵力量。\n盟友及隊友減少 10% 所有來源的傷害，出血傷害減少一半，止血速度快一倍。
perkCharismaticNatureRank4Desc,progression,perk Int,,,Captain,,Kapitän,Capitán,Capitaine,Capitano,キャプテン,해적 선장,Kapitan,Capitão,Капитан,Yüzbaşı,队长,隊長
perkCharismaticNatureRank4LongDesc,progression,perk Int,,,Your leadership abilities are top shelf.\nAllies and Party Members find 10% better loot.,,Deine Führungskompetenz ist erstklassig.\nVerbündete und Gruppenmitglieder finden 10 % bessere Beute.,Tus habilidades de liderazgo son de primera clase.\nLos aliados y los miembros del grupo tienen una probabilidad del 10% de encontrar mejores botines.,Vos talents de commandement sont inégalables.\nLa qualité du butin trouvé par les alliés et les membres du groupe est augmentée de 10 %.,Le tue abilità di capo sono le migliori.\nGli alleati e i membri del gruppo trovano bottino migliore del 10%.,あなたのリーダーシップ能力は一流です。\n同盟を組んでいるプレイヤーやパーティーメンバーの略奪品の質を10%上昇させます。,당신의 리더십은 최고입니다.\n아군 및 파티원들이 약탈물을 10% 더 찾습니다.,Twoje zdolności przywódcze są niezrównane.\nSojusznicy i członkowie drużyny znajdują 10% lepsze łupy.,Suas habilidades de liderança são excelentes.\nMelhora em 10% o saque encontrado por aliados e membros da equipe.,У вас первоклассные лидерские качества.\nСоюзники и члены группы получают на 10% больше добычи.,Liderlik kabiliyetin çok sağlam.\nMüttefikler ve Grup Üyeleri %10 daha iyi ganimet bulur.,你拥有顶级的领导力。\n盟友和队员发现的战利品质量提高10%。,你有一流的領導能力。\n盟友及隊友的戰利品品質提升 10%。
perkCharismaticNatureRank5Desc,progression,perk Int,,,General,,General,General,Général,Generale,将軍,일반,Generał,Geral,Генерал,General,将军,將軍
perkCharismaticNatureRank5LongDesc,progression,perk Int,,,You're a true hero.\nAllies and Party Members find 20% better loot and gain +1 to all attributes.,,Du bist ein wahrer Held.\nVerbündete und Gruppenmitglieder finden 20 % bessere Beute und erhalten +1 auf alle Attribute.,Eres una verdadera leyenda.\nLos aliados y los miembros del grupo tienen una probabilidad del 20% de encontrar mejores botines y obtienen 1 punto adicional en todos los atributos.,Votre héroïsme est indéniable.\nLa qualité du butin trouvé par les alliés et les membres du groupe est augmentée de 20 % et ils gagnent +1 à tous les attributs.,Sei un vero eroe.\nGli alleati e i membri del gruppo trovano bottino migliore del 20% e ottengono +1 a tutti gli attributi.,あなたは真の英雄です。\n同盟を組んでいるプレイヤーやパーティーメンバーの全ての特性+1上昇させ、略奪品の質を20%上昇させます。,당신은 진정한 영웅입니다.\n아군 및 파티원들이 약탈물을 20% 더 찾으며 모든 속성이 1 증가합니다.,Jesteś prawdziwym bohaterem\nSojusznicy i członkowie drużyny znajdują 20% lepsze łupy i zyskują premię +1 do wszystkich atrybutów.,"Você é um herói.\nMelhora em 20% o saque encontrado por aliados e membros da equipe, que ganham +1 em todos os atributos.",Вы — настоящий герой.\nСоюзники и члены группы получают на 20% больше добычи и +1 ко всем характеристикам.,Gerçek bir kahramansın.\nMüttefikler ve Grup Üyeleri %20 daha iyi ganimet bulur ve tüm nitelikleri 1 artar.,你是一名真正的英雄。\n盟友和队员发现的战利品质量提高20%，并且所有属性+1。,你是個大英雄。\n盟友及隊友的戰利品品質提升 20%，且所有屬性 +1。
perkDaringAdventurerDesc,progression,perk Int,,,Be a daring adventurer!\nGet better rewards for doing quests.,,Sei ein wagemutiger Abenteurer!\nErhalte bessere Belohnungen für Quests.,¡Sé un aventurero temerario!\nConsigue mejores recompensas por completar misiones.,Osez l'aventure !\nObtenez de meilleures récompenses en accomplissant vos quêtes.,Sii un avventuriero coraggioso!\nOttieni ricompense migliori per le missioni.,勇敢な冒険者になりましょう！\nクエストをしてもっと豪華な報酬を手に入れましょう。,대담한 모험가가 되세요!\n퀘스트를 완료하면 더 좋은 보상을 받습니다.,Śmiało wyruszaj na każdą przygodę!\nZdobywaj lepsze nagrody za realizację zadań.,Seja um aventureiro audacioso!\nReceba recompensas melhores por concluir missões.,Будьте дерзким авантюристом!\nВыполняйте задания и получайте лучшие награды.,Cesur bir maceracı ol!\nGörev yaparak daha iyi ödüller kazan.,做一名大胆的冒险家！\n去领取任务，获得奖励吧。,成爲勇敢的冒險家！\n完成任務後獲得更大的獎勵。
perkDaringAdventurerName,progression,perk Int,,,The Daring Adventurer,,Der wagemutige Abenteurer,El aventurero temerario,L'aventurier téméraire,L'avventuriero coraggioso,勇敢な冒険者,대담한 모험가,Śmiały poszukiwacz przygód,O Aventureiro Audacioso,Дерзкий авантюрист,Cesur Maceracı,大胆的冒险家,勇敢的冒險家
perkDaringAdventurerRank1Desc,progression,perk Int,,,Looter,,Räuber,Saqueador,Rapace,Sciacallo,略奪者,약탈자,Szabrownik,Saqueador,Искатель,Yağmacı,搜刮者,劫匪
perkDaringAdventurerRank1LongDesc,progression,perk Int,,,Risking your neck every day has its advantages.\nGain access to better trader items and get 5% more dukes.,,Jeden Tag deinen Hals zu riskieren hat seine Vorteile.\nErhalte Zugang zu besseren Händlergegenständen und erhalte 5 % mehr Dukes.,Arriesgar el cuello todos los días tiene sus ventajas.\nObtén acceso a los mejores objetos de vendedores y obtén un 5 % más de ducados.,Risquer votre vie chaque jour a quelques avantages.\nVous avez accès à une meilleure sélection chez les marchands et gagnez 5 % de pièces Duke supplémentaires.,Rischiare la pelle ogni giorno ha i suoi vantaggi.\nHai accesso a oggetti migliori dai negozianti e ottieni il 5% di duchi in più.,毎日危険を冒すことには利点があります。\nトレーダー商品の質上昇。クエスト報酬金額5%上昇。,매일 목숨을 위험에 빠뜨리는 것도 이득이 됩니다.\n더 좋은 상인 아이템을 볼 수 있으며 듀크를 5% 더 받습니다.,Codzienne nadstawianie karku ma swoje zalety.\nZyskujesz dostęp do lepszych przedmiotów u handlarzy i zdobywasz 5% więcej Żetonów Księcia.,Há vantagens em arriscar o pescoço todos os dias.\nObtenha acesso a melhores itens de comerciante e 5% mais duques.,У ежедневного риска есть свои преимущества.\nПолучаете доступ к лучшим товарам у продавцов и на 5% больше дюков.,Hayatını her gün tehlikeye atmanın birçok getirisi olur.\nDaha iyi tüccar öğelerine eriş ve %5 daha fazla duke kazan.,每天冒着生命的危险去搜刮是能带来回报的。\n解锁更好的商人物品，并且获得的公爵币增加5%。,每天冒著生命危險有它的好處。\n從商人身上取得品質更好的商品，並獲得多 5% 的杜克幣。
perkDaringAdventurerRank2Desc,progression,perk Int,,,Plunderer,,Plünderer,Saqueador,Pillard,Saccheggiatore,盗賊,도적,Grabieżca,Pilhador,Расхититель,Çapulcu,掠夺者,搶掠者
perkDaringAdventurerRank2LongDesc,progression,perk Int,,,"The traders know you can get the job done, plunderer.\nGain access to better trader items and get 10% more dukes.",,"Die Händler wissen, dass auf dich Verlass ist, Plünderer.\nErhalte Zugang zu besseren Händlergegenständen und erhalte 10 % mehr Dukes.","Los vendedores saben que puedes hacer el trabajo, saqueador.\nObtén acceso a los mejores objetos de vendedores y obtén un 10 % más de ducados.",Les marchands savent qu'ils peuvent compter sur vous.\nVous avez accès à de meilleurs objets auprès des marchand et gagnez 10 % de pièces Duke supplémentaires.,"I negozianti sanno che porterai a termine il lavoro, saccheggiatore.\nHai accesso a oggetti migliori dai negozianti e ottieni il 10% di duchi in più.",トレーダーたちは、略奪者である君が仕事をこなせることを知っています。\nトレーダー商品の質上昇。クエスト報酬金額10%上昇。,"상인은 당신이 일을 잘 해낸다는 걸 알고 있어요, 도적님.\n더 좋은 상인 아이템을 볼 수 있으며 듀크를 10% 더 받습니다.","Handlarze wiedzą, że poradzisz sobie z każdym zadaniem.\nZyskujesz dostęp do lepszych przedmiotów u handlarzy i zdobywasz 10% więcej Żetonów Księcia.",Os comerciantes sabem que poucos sabem pilhar como você.\nGanhe acesso a itens melhores nos comerciantes e ganhe 10% mais duques.,"Торговцы знают, что вы доводите дело до конца.\nПолучите доступ к наилучшим товарам торговцев и на 10% больше дюков.",Tüccarlar senin gibi bir yağmacının işi halledebileceğini biliyor.\nDaha iyi tüccar öğelerine eriş ve %10 daha fazla duke kazan.,商人们知道你一定能完成任务的，抢劫者。\n解锁更好的商人物品，并且获得的公爵币增加 10%。,盜賊，商人知道你能完成任務。\n從商人身上取得品質更好的商品，並額外獲得 10% 杜克幣。
perkDaringAdventurerRank3Desc,progression,perk Int,,,Mercenary,,Söldner,Mercenario,Mercenaire,Mercenario,傭兵,용병,Najemnik,Mercenário,Наемник,Paralı Asker,雇佣兵,僱傭兵
perkDaringAdventurerRank3LongDesc,progression,perk Int,,,You've made a name for yourself as a mercenary for hire.\nGain access to better trader items and get 15% more dukes.,,Du hast dir einen Namen als Söldner gemacht.\nErhalte Zugang zu besseren Händlergegenständen und erhalte 15 % mehr Dukes.,Te has hecho un nombre como mercenario a sueldo.\nObtén acceso a los mejores objetos de vendedores y obtén un 15 % más de ducados.,Vous vous êtes fait une place dans le mercenariat.\nVous avez accès à une meilleure sélection chez les marchands et gagnez 15 % de pièces Duke supplémentaires.,Ti sei fatto un nome come mercenario da ingaggiare.\nHai accesso a oggetti migliori dai negozianti e ottieni il 15% di duchi in più.,あなたは傭兵として名を上げました。\nトレーダー商品の質上昇。クエスト報酬金額15%上昇。,고용할 가치가 있는 용병으로 이름을 날립니다.\n더 좋은 상인 아이템을 볼 수 있으며 듀크를 15% 더 받습니다.,"Wszyscy wiedzą, że za opłatą podejmiesz się każdego zadania.\nZyskujesz dostęp do lepszych przedmiotów u handlarzy i zdobywasz 15% więcej Żetonów Księcia.",Você fez seu nome como mercenário de aluguel.\nGanhe acesso a itens melhores do comerciante e obtenha 15% mais duques.,Вы прославились как наемник.\nПолучаете доступ к лучшим товарам торговцев и на 15% больше дюков.,Paralı asker olarak adından söz ettiriyorsun.\nDaha iyi tüccar öğelerine eriş ve %15 daha fazla duke kazan.,你已经是一个小有名气的雇佣兵了，大家都想雇你。\n解锁更好的商人物品，并且获得的公爵币增加15%。,你已經爲自己贏得了僱傭兵的稱號。\n從商人身上取得品質更好的商品，並獲得多 15% 的杜克幣。
perkDaringAdventurerRank4Desc,progression,perk Int,,,Bounty Hunter ,,Kopfgeldjäger,Cazarrecompensas,Chasseur de prime,Cacciatore di bottino,賞金稼ぎ,현상금 사냥꾼,Łowca nagród,Caça-prêmios,Охотник за наживой,Kelle Avcısı,赏金猎人,賞金獵人
perkDaringAdventurerRank4LongDesc,progression,perk Int,,,"If there's a job that pays, you're the first in line.\nGain access to better trader items and get 20% more dukes.",,Für gute Deals bist du immer zu haben!\nErhalte Zugang zu besseren Händlergegenständen und 20 % mehr Dukes.,"Si hay un trabajo que paga, eres el primero en la fila.\nObtén acceso a los mejores objetos de vendedores y obtén un 20 % más de ducados.","Quand il y a de l'argent à se faire, vous n'attendez que le signal.\nVous avez accès à de meilleurs objets auprès des marchand et gagnez 20 % de pièces Duke supplémentaires.","Se un lavoro paga, sei il primo a presentarsi.\nHai accesso a oggetti migliori dai negozianti e ottieni il 20% di duchi in più.",金になる仕事があれば、あなたは真っ先にその列に並びます。\nトレーダー商品の質さらに上昇。クエスト報酬金額20%増加。,돈을 주는 일이 있다면 가장 먼저 달려갑니다.\n더 좋은 상인 아이템을 볼 수 있으며 듀크를 20% 더 받습니다.,Żadna praca nie hańbi.\nZyskujesz dostęp do lepszych przedmiotów u handlarzy i zdobywasz 20% więcej Żetonów Księcia.,"Não importa o serviço, se tiver pagamento, você topa.\nGanhe acesso a itens melhores nos comerciantes e ganhe 20% mais duques.","Если появляется денежная работенка, то вы раньше других встаете в очередь.\nПолучаете доступ к лучшим товарам торговцев и на 20% больше дюков.",Para kazandıran bir iş varsa ilk koşan sensin.\nDaha iyi tüccar öğelerine eriş ve %20 daha fazla duke kazan.,如果报酬高的活，你第一个报名！\n解锁更好的商人物品，并且获得的公爵币增加 20%。,有酬勞的任務，你永遠搶第一。\n從商人身上取得品質更好的商品，並額外獲得 20% 杜克幣。
perkDaringAdventurerRank5Desc,progression,perk Int,,,Daring Adventurer,,Wagemutiger Abenteurer,Aventurero audaz,Aventurier téméraire,Avventuriero coraggioso,勇敢な冒険者,대담한 모험가,Miłośnik przygód,Aventureiro Audaz,Дерзкий авантюрист,Cesur Maceracı,无畏冒险家,無畏冒險家
perkDaringAdventurerRank5LongDesc,progression,perk Int,,,You are the daring adventurer!\nGain access to better trader items and get 25% more dukes.\nPick two quest rewards for your daring efforts.,,Du bist ein kühner Abenteurer!\nErhalte Zugang zu besseren Händlergegenständen und erhalte 25 % mehr Dukes.\nWähle zwei Questbelohnungen für deine kühnen Bemühungen.,¡Eres muy audaz!\nObtén acceso a los mejores objetos de vendedores y obtén un 25 % más de ducados.\nElige dos recompensas de misión por tu esfuerzo arriesgado.,L'aventure ne vous fait pas peur !\nVous avez accès à une meilleure sélection chez les marchands et gagnez 25 % de pièces Duke supplémentaires.\nVous pouvez choisir deux récompenses de quête pour vos efforts.,Sei l'avventuriero coraggioso!\nHai accesso a oggetti migliori dai negozianti e ottieni il 25% di duchi in più.\nScegli due ricompense di missione per il tuo impegno audace.,あなたは勇敢な冒険者です！\nトレーダー商品の質さらに上昇。クエスト報酬金額25%増加。\nクエスト報酬を2つ選択できるようになります。,당신은 대담한 모험가입니다!\n더 좋은 상인 아이템을 볼 수 있으며 듀크를 25% 더 받습니다.\n두 개의 퀘스트 보상을 선택할 수 있습니다.,Żadna przygoda ci nie straszna!\nZyskujesz dostęp do lepszych przedmiotów u handlarzy i zdobywasz 25% więcej Żetonów Księcia.\nPo realizacji zadania możesz wybrać dwie nagrody.,Você é um aventureiro ousado!\nGanhe acesso a itens melhores nos comerciantes e obtenha 25% mais duques.\nPegue duas recompensas de missão por seu esforço ousado.,Вы дерзкий авантюрист!\nПолучаете доступ к лучшим товарам торговцев и на 25% больше дюков.\nЗа свою смелость вы можете выбрать две награды за выполнение заданий.,Gözü pek bir maceracısın!\nDaha iyi tüccar öğelerine eriş ve %25 daha fazla duke kazan.\nCesur çabaların karşılığında iki görev ödülü al.,你现在是一名大胆的冒险家了！\n解锁更好的商人物品，并且获得的公爵币增加 25%。\n可以在大胆冒险后选择两项任务奖励。,你是勇敢的冒險家！\n從商人身上取得品質更好的商品，並額外獲得 25% 杜克幣。\n任務完成時可獲得兩項獎勵作為報償。
perkElectrocutionerDesc,progression,perk Int,,,Learn how to use batons more effectively. Incapacitate your victims easier and do more damage.\nBoost loot odds of [DECEA3]Tech Planet[-] magazines.,,"Lerne, Schlagstöcke effektiver zu nutzen. Setze deine Opfer leichter außer Gefecht und füge ihnen mehr Schaden zu.\nErhöhe die Beutechance für [DECEA3]Tech Planet[-]-Zeitschriften.",Aprende a cómo usar las porras de forma más eficaz. Incapacita a tus víctimas con más facilidad e inflige más daño.\nAumenta la probabilidad de encontrar revistas [DECEA3]Planeta tecnológico[-] en el botín.,Apprenez à utiliser les matraques avec plus d'efficacité. Immobilisez vos victimes plus facilement et infligez-leur davantage de dégâts.\nAméliorez les chances d'obtenir des magazines [DECEA3]Planète Tech[-].,Impara a usare i manganelli più efficacemente. Immobilizza le tue vittime più facilmente e infliggi più danni.\nAumenta le probabilità di bottino delle riviste [DECEA3]Pianeta tecnologico[-].,バトンの効果的な使い方を学んで、敵をより簡単に無力化し、より多くのダメージを与えよう。\n[DECEA3]技術の惑星[-]の雑誌略奪率が上がります。,배턴을 더욱 효과적으로 사용하는 방법을 배웁니다. 적을 더 쉽게 무력화시키고 더 많은 대미지를 가합니다.\n약탈품에서 [DECEA3]테크 플래닛[-] 잡지 획득 확률이 증가합니다.,Naucz się skuteczniej używać pałek. Z większą łatwością obezwładniaj wrogów i zadawaj większe obrażenia.\nZwiększ szanse łupu: czasopisma [DECEA3]„Planeta Technologii”[-].,Aprenda a usar cassetetes com maior eficiência. Incapacite suas vítimas com maior facilidade e cause mais dano.\nAumenta as chances de saque da revista [DECEA3]Planeta Tecnológico[-].,Научитесь эффективно использовать жезлы. Выводите из строя своих жертв быстро и легко и наносите больше урона.\nПовышает шансы найти в добыче журналы [DECEA3]Планета технологий[-].,Elektroşok cihazlarını daha etkili kullanmayı öğren. Düşmanlarını daha az çabayla etkisiz hâle getir ve daha çok hasar ver.\n[DECEA3]Teknoloji Dünyası[-] dergilerinin ganimet şansını artırır.,学习如何高效使用短棒。能更轻易地俘获你的敌人，也能造成更多伤害。\n提高搜刮到[DECEA3]《科技星球》[-]杂志的概率。,學習如何更有效地使用致暈棍，使你的受害者更容易失去能力，造成更大傷害。\n提升[DECEA3]《科技星球》[-]雜誌的掉落機率。
perkElectrocutionerName,progression,perk Int,,,Electrocutioner,,Henker,Electrocutador,Électrocuteur,Elettrocuzione,感電者,전기 처형자,Zeus,Eletrocutor,Электрочикатило,Elektro Cellat,电击处刑官,電擊致死者
perkElectrocutionerRank1Desc,progression,perk Int,,,Low Voltage,,Niederspannung,Bajo voltaje,Basse tension,Bassa tensione,低電圧,낮은 전압,Niskie napięcie,Baixa tensão,Низкое напряжение,Alçak Gerilim,低电压,低電壓
